カード名	カード番号	Q:ID	QA	UpdatedAt	
オリバンダーの店	01-081	78	Q: 01-033「入学許可証」の「デッキの上から2枚を見て、その中から【魔法使い】または【魔女】のカード1枚までを公開し、手札に移す。」によって、手札にカードを移さなかった場合、「その後、残りのカードを任意の順番でデッキの下に移す。」は発動しますか。 / A: 発動します。	2026/4/24	
オリバンダーの店	01-081	91	Q: 01-081「オリバンダーの店」は、「杖」を装備できる味方キャラがいない場合でも、「杖」を抜き出すことはできますか。 / A: できません。「杖」を装備できる味方キャラがいない場合は、デッキの上から10枚の中に戻ります。	2026/4/24	
9と3/4番線	01-080	87	Q: 01-080「9と3/4番線」の「〔自動〕〔自分のターン終了時〕　手札1枚を捨て札にし、味方の【ホグワーツ】カード1枚までをメインフィールドに移す。」は、どこからメインフィールドに移しますか。 / A: サポートフィールドから、味方の【ホグワーツ】カード1枚までをメインフィールドに移します。	2026/4/24	
9と3/4番線	01-080	88	Q: 01-080「9と3/4番線」は、ターン終了時に、手札を捨てず、メインフィールドに移さないことも選べますか。 / A: 選べません。〔自動〕〔自分のターン終了時〕は必ず発動しなければなりません。サポートフィールドに味方の【ホグワーツ】カード1枚がない場合でも、手札1枚を捨てる必要があります。	2026/4/24	
9と3/4番線	01-080	89	Q: 01-080「9と3/4番線」の効果で、S01-002「ハリー・ポッター」がサポートフィールドからメインフィールドに移った場合、そのターンに「〔自動〕〔自分のターン終了時〕味方キャラ1枚までを活動状態にする。」は発動しますか。 / A: 発動しません。ターンの終了時に処理が発生する効果を解決する時点で、効果が発動できない状態のカードは、その後効果が発動できる状態になったとしても、効果を発動することはできません。	2026/4/24	
9と3/4番線	01-080	90	Q: 自分の手札が無い場合、01-080「9と3/4番線」の「味方の【ホグワーツ】カード1枚までをメインフィールドに移す。」を発動できますか。 / A: できません。	2026/4/24	
動く階段	01-079	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
動く階段	01-079	86	Q: 01-079「動く階段」で相手のアタック対象を、活動状態の味方キャラ1枚に変更することはできますか。 / A: できません。	2026/4/24	
校長先生のカード	01-078	85	Q: 01-078「校長先生のカード」でメインフィールドに出した「アルバス・ダンブルドア」が、次の自分のターン開始時にサポートフィールドにいる場合、手札に戻りますか。 / A: 決闘場にいる限り、手札に戻ります。ただし、出したカードが一度でも決闘場から離れていた場合、手札に戻る効果は発動しません。	2026/4/24	
思い出し玉	01-077	84	Q: 01-077「思い出し玉」で、裏向きで重ねたカードの内容を確認することはできますか。 / A: できません。	2026/4/24	
アロホモラ	01-076	81	Q: 01-073「フラッフィー」が、01-076「アロホモラ」の効果で、デッキから手札に移る場合の処理はどうなりますか。 / A: まず、01-076「アロホモラ」の効果でカードを2枚引き、この2枚を他の手札と混ぜる前に、その中にある01-073「フラッフィー」を任意の枚数相手に見せて、メインフィールドに出します。その後、01-076「アロホモラ」の「手札1枚を捨て札にする。」を処理します。	2026/4/24	
ウィンガード・レビオーサ	01-074	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
ウィンガード・レビオーサ	01-074	82	Q: 味方キャラ2枚でのアタックを行った決闘中に、自分が01-074「ウィンガード・レビオーサ」をプレイした場合、決闘中の味方キャラ2枚は両方とも±0/-5されますか。 / A: はい、決闘中の味方キャラ2枚の両方が±0/-5されます。	2026/4/24	
ウィンガード・レビオーサ	01-074	83	Q: 01-074「ウィンガード・レビオーサ」をプレイした後にブロック宣言を行ったキャラは、±0/-5されますか。 / A: いいえ、±0/-5されません。	2026/4/24	
フラッフィー	01-073	81	Q: 01-073「フラッフィー」が、01-076「アロホモラ」の効果で、デッキから手札に移る場合の処理はどうなりますか。 / A: まず、01-076「アロホモラ」の効果でカードを2枚引き、この2枚を他の手札と混ぜる前に、その中にある01-073「フラッフィー」を任意の枚数相手に見せて、メインフィールドに出します。その後、01-076「アロホモラ」の「手札1枚を捨て札にする。」を処理します。	2026/4/24	
ダドリー・ダーズリー	01-068	80	Q: 01-068「ダドリー・ダーズリー」は、相手のメインフィールドに「ハリー・ポッター」のカードがいる場合でもダウンしますか。 / A: はい、ダウンします。	2026/4/24	
ペチュニア・ダーズリー	01-065	79	Q: 01-065「ペチュニア・ダーズリー」で表向きにしたカードは、表向きのままですか、裏向きに戻しますか。 / A: 表向きのままゲームを進行しますが、デッキにある表向きのカードは、デッキをシャッフルする効果・デッキを見る効果・デッキから公開される効果の対象に含まれ、山札の上や下などに戻る際は、裏向きにしてデッキに戻します。	2026/4/24	
バーノン・ダーズリー	01-064	77	Q: 01-064「バーノン・ダーズリー」をプレイし、手札から【手紙】カード1枚を捨て札にできない場合、「その後、相手は手札1枚を捨て札にする。」は発動しますか。 / A: 発動しません。	2026/4/24	
ハリー・ポッター	01-061	74	Q: 01-061「ハリー・ポッター」の「〔自動〕〔エントリー〕　メインフィールドにいる味方の【マグル】カード1枚を手札に移し、このカードを活動状態にする。」は、メインフィールドに味方の【マグル】カードがある場合、必ず手札に戻す必要はありますか。 / A: メインフィールドに味方の【マグル】カードがある場合、必ず手札に戻す必要があります。また、メインフィールドに味方の【マグル】カードがない場合、「このカードを活動状態にする。」は発動しません。	2026/4/24	
ハリー・ポッター	01-061	75	Q: メインフィールドに味方の【マグル】カードが無い場合、01-061「ハリー・ポッター」の「このカードを活動状態にする。」は、発動しますか。 / A: 発動しません。	2026/4/24	
ハリー・ポッター	01-061	76	Q: 01-061「ハリー・ポッター」をサポートフィールドにプレイした場合、〔常時〕や〔自動〕〔エントリー〕は発動しますか。 / A: 発動しません。	2026/4/24	
太った婦人	01-059	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
太った修道士	01-058	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
灰色のレディ	01-057	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
血みどろ男爵	01-056	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
ほとんど首無しニック	01-055	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
アーガス・フィルチ	01-054	73	Q: 01-054「アーガス・フィルチ」が相手キャラからアタックされ、そのアタックを他の味方キャラでブロックしました。この決闘中、自分はMagicカードをプレイすることはできますか。 / A: 可能です。	2026/4/24	
ルビウス・ハグリッド	01-053	71	Q: 01-053「ルビウス・ハグリッド」は、相手のキャラがすべて活動状態の場合、相手のキャラにアタックできますか。 / A: できません。	2026/4/24	
ルビウス・ハグリッド	01-053	72	Q: 01-053「ルビウス・ハグリッド」は、パートナーをアタックできるカードと2枚でアタックを行う場合、パートナーにアタックすることはできますか。 / A: できません。カード2枚でのアタックは、アタックの宣言を行う際に、同じ対象をアタックできるキャラ2枚を休息状態にすることで行えます。	2026/4/24	
クィリナス・クィレル	01-052	51	Q: 「≪ブレイク≫このカードを、サポートフィールドに出す。」のブレイクを使用した場合、そのカードはサポートフィールドから捨て札に行きますか。 / A: いいえ、ブレイク効果の処理によって、ライフ以外の場所に移動したカードは、捨て札には行きません。	2026/4/24	
ロランダ・フーチ	01-050	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
ロランダ・フーチ	01-050	70	Q: 01-050	「ロランダ・フーチ」の「〔Pリンク「アルバス・ダンブルドア」〕〔宣言〕〔決闘中〕⤵　味方の【教師】カード1枚までを、ターン終了時まで+1/+1する。」を発動した後、そのターン中に01-050「ロランダ・フーチ」が活動状態になった場合、再度〔宣言〕〔決闘中〕⤵を発動することはできますか。 / A: 可能です。	2026/4/24	
セブルス・スネイプ	01-049	67	Q: 01-049「セブルス・スネイプ」の「相手は、休息状態の自分のキャラ1枚を、手札に移す。」は、どのプレイヤーがどのキャラを手札に戻しますか。 / A: 相手プレイヤーが、相手プレイヤーの決闘場にある休息状態のキャラを1枚選び、手札に戻します。その際、相手はサポートフィールドのキャラを選ぶことも可能です。	2026/4/24	
セブルス・スネイプ	01-049	68	Q: 01-049「セブルス・スネイプ」をプレイした場合、相手の決闘場に休息状態のキャラがいない場合どうなりますか。 / A: 何も起こりません。	2026/4/24	
セブルス・スネイプ	01-049	69	Q: 01-049「セブルス・スネイプ」をプレイして、相手がS01-012「杖」を装備したキャラを手札に戻す場合、S01-012「杖」はどうなりますか。 / A: 捨て札に移ります。	2026/4/24	
ミネルバ・マクゴナガル	01-048	66	Q: 01-048「ミネルバ・マクゴナガル」の「手札1枚までをMPフィールドに置く。」によって、MPフィールドに置くカードは活動状態で置かれますか。 / A: 活動状態で置かれます。休息状態と指定がされていないものは、すべて活動状態で置かれます。	2026/4/24	
アルバス・ダンブルドア	01-047	65	Q: 01-047「アルバス・ダンブルドア」の「味方の【教師】カード全てを、+1/+1する。」は、01-047「アルバス・ダンブルドア」自身も対象になりますか。 / A: 対象になります。	2026/4/24	
スーザン・ボーンズ	01-045	51	Q: 「≪ブレイク≫このカードを、サポートフィールドに出す。」のブレイクを使用した場合、そのカードはサポートフィールドから捨て札に行きますか。 / A: いいえ、ブレイク効果の処理によって、ライフ以外の場所に移動したカードは、捨て札には行きません。	2026/4/24	
ジョージ・ウィーズリー	01-042	64	Q: 「ジョージ・ウィーズリー」のカードがメインフィールドにいる場合、メインフィールドにいる01-041「フレッド・ウィーズリー」のカードのコストはいくつですか。 / A: 4です。手札以外で「〔常時〕このカードが手札にある状態で、自分のメインフィールドに「フレッド・ウィーズリー」のカードがいる場合、このカードをコスト-2する。」は発動しません。	2026/4/24	
フレッド・ウィーズリー	01-041	64	Q: 「ジョージ・ウィーズリー」のカードがメインフィールドにいる場合、メインフィールドにいる01-041「フレッド・ウィーズリー」のカードのコストはいくつですか。 / A: 4です。手札以外で「〔常時〕このカードが手札にある状態で、自分のメインフィールドに「フレッド・ウィーズリー」のカードがいる場合、このカードをコスト-2する。」は発動しません。	2026/4/24	
ハーマイオニー・グレンジャー	01-039	47	Q: Pt006「アルバス・ダンブルドア」の「自分が次にプレイする【教師】のカード1枚は、コスト-1を得る。」を使用した後、そのターンに【教師】のカードをプレイしなかった場合どうなりますか。 / A: 効果はそのターン中に消えます。以降のターンに効果は引き継がれません。	2026/4/24	
ホグワーツ特急	01-034	57	Q: 01-003「ハリー・ポッター」の「サポートフィールドにいる、コスト4以下の味方キャラ1枚までを、メインフィールドに移す。」によって、メインフィールドに移ったキャラは、アタックできますか。 / A: そのターン中にプレイされたキャラでなければ、すぐにアタックすることができます。	2026/4/24	
入学許可証	01-033	78	Q: 01-033「入学許可証」の「デッキの上から2枚を見て、その中から【魔法使い】または【魔女】のカード1枚までを公開し、手札に移す。」によって、手札にカードを移さなかった場合、「その後、残りのカードを任意の順番でデッキの下に移す。」は発動しますか。 / A: 発動します。	2026/4/24	
ウィンガーディアム・レヴィオーサ	01-032	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
クィリナス・クィレル	01-027	63	Q: 01-027「クィリナス・クィレル」の「相手のMPフィールドのカード1枚を休息状態にする。」でMPカードを対象にすることはできますか。 / A: できません。MPカードは、MPフィールドにあるカードとして扱いません。	2026/4/24	
ミネルバ・マクゴナガル	01-024	62	Q: 休息状態の01-024「ミネルバ・マクゴナガル」が攻撃された場合、反撃は発動しますか。 / A: 発動しません。	2026/4/24	
グレゴリー・ゴイル	01-022	61	Q: 自分のターン中、相手の01-022「グレゴリー・ゴイル」がダウンし、「相手キャラ1枚までを、ターン終了時まで、-2/-2する。」によって、S01-002「ハリー・ポッター」が-2/-2され、DPが0になったことで休息状態になりました。このターンの終了時、「〔自動〕〔自分のターン終了時〕味方キャラ1枚までを活動状態にする。」で、-2/-2されたS01-002「ハリー・ポッター」を活動状態にする場合、どうなりますか。 / A: まず、手番のプレイヤー（自分）から、ターン終了時の処理を行います。S01-002「ハリー・ポッター」が一度活動状態になりますが、DPが0なので再度休息状態になります。次に手番ではないプレイヤー（相手）の01-022「グレゴリー・ゴイル」の「相手キャラ1枚までを、ターン終了時まで、-2/-2する。」の効果の継続が終了します。	2026/4/24	
ドラコ・マルフォイ	01-020	60	Q: 01-020「ドラコ・マルフォイ」の「このカードと決闘中の相手キャラを、-2/-2する。」は、決闘中の相手キャラと、このカード自身の2枚を-2/-2する効果ですか。 / A: いいえ。このカードの決闘相手である相手キャラのみを-2/-2する効果です。	2026/4/24	
ハリー・ポッター	01-012	59	Q: 01-012「ハリー・ポッター」の「メインフィールドにいる、味方の【マグル】カード1枚を休息状態にし、このカードを活動状態にする。」は、このターンにメインフィールドに出た味方【マグル】カードも休息にできますか。 / A: 可能です。	2026/4/24	
アルバス・ダンブルドア	01-008	58	"Q: 01-008「アルバス・ダンブルドア」の「〔常時〕〔ターン1回〕自分がMagicカードをプレイした場合、カードを1枚引く。」を、自分のターンに1回発動した場合、次の相手のターンでも1回発動することはできますか。 / A: 可能です。〔常時〕〔ターン1回〕は、お互いのプレイヤーのターンで、ターン中に1回だけ発動します。"""	2026/4/24	
ハリー・ポッター	01-003	56	Q: メインフィールドに味方キャラが2枚いるとき、01-003「ハリー・ポッター」をプレイし、01-003を捨て札にしてサポートフィールドのコスト4以下の味方キャラをメインフィールドに移すことは可能でしょうか。 / A: 可能です。	2026/4/24	
ハリー・ポッター	01-003	57	Q: 01-003「ハリー・ポッター」の「サポートフィールドにいる、コスト4以下の味方キャラ1枚までを、メインフィールドに移す。」によって、メインフィールドに移ったキャラは、アタックできますか。 / A: そのターン中にプレイされたキャラでなければ、すぐにアタックすることができます。	2026/4/24	
ルビウス・ハグリッド	01-002	41	Q: Pt003「ハリー・ポッター」の「味方の【グリフィンドール】カード1枚までを、活動状態にする。」によって、Partnerカードを活動状態にできますか。 / A: できません。対象となる場所（MPフィールド、デッキなど）が指定されてない効果は、決闘場のカードのみを指定できます。	2026/4/24	
アルバス・ダンブルドア	Pt006	46	Q: Pt006「アルバス・ダンブルドア」の「自分が次にプレイする【教師】のカード1枚は、コスト-1を得る。」を使用した後、コストが1の【教師】のカードは0コストでプレイできますか。 / A: 可能です。	2026/4/24	
アルバス・ダンブルドア	Pt006	47	Q: Pt006「アルバス・ダンブルドア」の「自分が次にプレイする【教師】のカード1枚は、コスト-1を得る。」を使用した後、そのターンに【教師】のカードをプレイしなかった場合どうなりますか。 / A: 効果はそのターン中に消えます。以降のターンに効果は引き継がれません。	2026/4/24	
ドラコ・マルフォイ	Pt005	44	Q: コストが0になったキャラはどうなりますか。 / A: 何も起こりません。	2026/4/24	
ドラコ・マルフォイ	Pt005	45	Q: コストは0未満になりますか。 / A: いいえ、0未満にはなりません。	2026/4/24	
ハーマイオニー・グレンジャー	Pt004	42	Q: Pt004「ハーマイオニー・グレンジャー」の「自分の捨て札からMagicカード2枚をデッキの下に移し、サポートフィールドにいる、味方キャラ1枚までを、メインフィールドに移す。」によって、デッキの下に移すカードの順番は選べますか。 / A: 選べます。	2026/4/24	
ハーマイオニー・グレンジャー	Pt004	43	Q: Pt004「ハーマイオニー・グレンジャー」の「自分の捨て札からMagicカード2枚をデッキの下に移し、サポートフィールドにいる、味方キャラ1枚までを、メインフィールドに移す。」を使用する際、サポートフィールドに味方キャラがいない場合でも効果を使用できますか。 / A: 使用できます。「自分の捨て札からMagicカード2枚をデッキの下に移し、」までを処理することは可能です。	2026/4/24	
ハーマイオニー・グレンジャー	Pt004	57	Q: 01-003「ハリー・ポッター」の「サポートフィールドにいる、コスト4以下の味方キャラ1枚までを、メインフィールドに移す。」によって、メインフィールドに移ったキャラは、アタックできますか。 / A: そのターン中にプレイされたキャラでなければ、すぐにアタックすることができます。	2026/4/24	
ハリー・ポッター	Pt003	39	Q: Pt003「ハリー・ポッター」の「味方の【グリフィンドール】カード1枚までを、活動状態にする。」によって、このターン既にアタックしたキャラを活動状態にした場合、そのキャラクターはアタックすることは可能ですか。 / A: 可能です。	2026/4/24	
ハリー・ポッター	Pt003	40	Q: Pt003「ハリー・ポッター」の「味方の【グリフィンドール】カード1枚までを、活動状態にする。」によって、このターン既に〔自動〕〔アタック〕を発動したキャラを活動状態にして再度アタックを行う場合、〔自動〕〔アタック〕は発動しますか。 / A: 〔ターン1回〕等の条件が無い限り、発動します。	2026/4/24	
ハリー・ポッター	Pt003	41	Q: Pt003「ハリー・ポッター」の「味方の【グリフィンドール】カード1枚までを、活動状態にする。」によって、Partnerカードを活動状態にできますか。 / A: できません。対象となる場所（MPフィールド、デッキなど）が指定されてない効果は、決闘場のカードのみを指定できます。	2026/4/24	
上がれ！	S02-010	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
パンジー・パーキンソン	S02-005	70	Q: 「ロランダ・フーチ」の「〔Pリンク「アルバス・ダンブルドア」〕〔宣言〕〔決闘中〕⤵　味方の【教師】カード1枚までを、ターン終了時まで+1/+1する。」を発動した後、そのターン中に01-050「ロランダ・フーチ」が活動状態になった場合、再度〔宣言〕〔決闘中〕⤵を発動することはできますか。 / A: 可能です。	2026/4/24	
グレゴリー・ゴイル	S02-004	41	Q: Pt003「ハリー・ポッター」の「味方の【グリフィンドール】カード1枚までを、活動状態にする。」によって、Partnerカードを活動状態にできますか。 / A: できません。対象となる場所（MPフィールド、デッキなど）が指定されてない効果は、決闘場のカードのみを指定できます。	2026/4/24	
ビンセント・クラッブ	S02-003	41	Q: Pt003「ハリー・ポッター」の「味方の【グリフィンドール】カード1枚までを、活動状態にする。」によって、Partnerカードを活動状態にできますか。 / A: できません。対象となる場所（MPフィールド、デッキなど）が指定されてない効果は、決闘場のカードのみを指定できます。	2026/4/24	
ホグワーツ魔法魔術学校	S01-010	51	Q: 「≪ブレイク≫このカードを、サポートフィールドに出す。」のブレイクを使用した場合、そのカードはサポートフィールドから捨て札に行きますか。 / A: いいえ、ブレイク効果の処理によって、ライフ以外の場所に移動したカードは、捨て札には行きません。	2026/4/24	
ドラコ・マルフォイ	Pt002	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
組分け儀式	S01-013	55	Q: S01-013「組分け儀式」の効果のタイミングは、〔使用〕〔自分のメインフェイズ〕ですが、決闘中にライフから公開された場合、「≪ブレイク≫このカードを、無償で使用できる。」によって、このカードの効果を使用することは可能ですか。 / A: 可能です。ブレイクによって、カードに記載された効果を使用する場合は、〔自分のメインフェイズ〕以外のタイミングでも、カードの効果を使用できます。	2026/4/24	
杖	S01-012	53	Q: S01-012「杖」は、【魔法使い】または【魔女】以外のキャラにも装備することはできますか。 / A: 可能です。ただし、効果は得られません。	2026/4/24	
杖	S01-012	54	Q: メインフィールドにキャラが3枚ある状態で、メインフィールドのキャラにアイテムカードを装備した場合、メインフィールドのカードを捨て札にする必要がありますか？ / A: いいえ、必要ありません。カードの下に重ねて置かれるカードは、メインフィールドやサポートフィールドの上限数に数えません。	2026/4/24	
杖	S01-012	69	Q: 01-049「セブルス・スネイプ」をプレイして、相手がS01-012「杖」を装備したキャラを手札に戻す場合、S01-012「杖」はどうなりますか。 / A: 捨て札に移ります。	2026/4/24	
レパロ	S01-011	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
レパロ	S01-011	52	Q: S01-011「レパロ」のブレイクを使用した場合、Magicカードをプレイした扱いになりますか。 / A: はい。Magicカードをプレイした扱いになります。	2026/4/24	
ハーマイオニー・グレンジャー	S01-004	50	Q: 「Magicカードがプレイされた場合」は、相手がプレイしたMagicカードでも効果が発動しますか。 / A: 発動します。	2026/4/24	
ロン・ウィーズリー	S01-003	70	Q: 01-050「ロランダ・フーチ」の「〔Pリンク「アルバス・ダンブルドア」〕〔宣言〕〔決闘中〕⤵　味方の【教師】カード1枚までを、ターン終了時まで+1/+1する。」を発動した後、そのターン中に01-050「ロランダ・フーチ」が活動状態になった場合、再度〔宣言〕〔決闘中〕⤵を発動することはできますか。 / A: 可能です。	2026/4/24	
ハリー・ポッター	S01-002	61	Q: 自分のターン中、相手の01-022「グレゴリー・ゴイル」がダウンし、「相手キャラ1枚までを、ターン終了時まで、-2/-2する。」によって、S01-002「ハリー・ポッター」が-2/-2され、DPが0になったことで休息状態になりました。このターンの終了時、「〔自動〕〔自分のターン終了時〕味方キャラ1枚までを活動状態にする。」で、-2/-2されたS01-002「ハリー・ポッター」を活動状態にする場合、どうなりますか。 / A: まず、手番のプレイヤー（自分）から、ターン終了時の処理を行います。S01-002「ハリー・ポッター」が一度活動状態になりますが、DPが0なので再度休息状態になります。次に手番ではないプレイヤー（相手）の01-022「グレゴリー・ゴイル」の「相手キャラ1枚までを、ターン終了時まで、-2/-2する。」の効果の継続が終了します。	2026/4/24	
ハリー・ポッター	S01-002	89	Q: 01-080「9と3/4番線」の効果で、S01-002「ハリー・ポッター」がサポートフィールドからメインフィールドに移った場合、そのターンに「〔自動〕〔自分のターン終了時〕味方キャラ1枚までを活動状態にする。」は発動しますか。 / A: 発動しません。ターンの終了時に処理が発生する効果を解決する時点で、効果が発動できない状態のカードは、その後効果が発動できる状態になったとしても、効果を発動することはできません。	2026/4/24	
ハリー・ポッター	S01-001	37	Q: S01-001「ハリー・ポッター」とT01-001「ハリー・ポッター」は別のカードとして扱いますか。 / A: 別のカードとして扱います。	2026/4/24	
ハリー・ポッター	S01-001	48	Q: S01-001「ハリー・ポッター」の「カードを2枚引き、手札2枚を捨て札にする。」を使用する際、デッキの枚数が1枚の場合はどのような処理になりますか。 / A: 何も起こりません。デッキ1枚の場合は「カードを2枚引き」を実行できません。また、「カードを2枚引き」が実行できないため、「～手札2枚を捨て札にする。」も発動しません。	2026/4/24	
ハリー・ポッター	S01-001	49	Q: S01-001「ハリー・ポッター」の「カードを2枚引き、手札2枚を捨て札にする。」は、手札が無い場合でも発動しますか。 / A: 発動します。	2026/4/24	
ハリー・ポッター	Pt001	36	Q: 〔決闘中〕は、どのタイミングで使用できますか。 / A: ゲームマニュアルの20p「相手のキャラかパートナーにアタックする」の項目の、「4：〔決闘中〕の使用タイミング①」「7：〔決闘中〕の使用タイミング②」で使用できます。	2026/4/24	
